Modelo,Accuracy (%),F1_Macro,Precision_Macro,Recall_Macro,Latencia (µs),Tamaño (KB)
Regresión Logística,64.0416472861283,0.6233437351416568,0.6754481678046257,0.6184751134088547,185.27080489892288,15.0
Naive Bayes,56.87144441661598,0.5339973083813038,0.6229118359417889,0.5652208818386322,4.2851280281465165,10.0
CNN-1D,61.91,0.5722,0.598,0.57,1.6,120.0
EdgeGuard VAE-MLP (INT8),69.73058070056175,0.685297574555322,0.7103133764779169,0.6834228233922627,3.25,21.67
Random Forest,76.61454792658056,0.7525306861252823,0.7812273594383932,0.7462007653513774,5.82,52525.0
XGBoost,77.13335003041254,0.7585452931050581,0.7799770345353529,0.7533142296620619,2.68,4021.0
LightGBM,77.7344448817489,0.7662715726170048,0.7828449083314712,0.7616502150407795,49.92,4134.0
🚀 Stacking Ensemble (Nube),77.1834412680239,0.7603866990776056,0.7695206404124986,0.757593718424038,2.45,1400.0
